order_id,customer_id,order_date
1,32,2023-08-05
2,375,2023-01-11
3,34,2023-01-29
4,5,2023-01-18
5,276,2023-06-23
6,171,2023-01-10
7,314,2023-01-05
8,287,2023-04-19
9,241,2023-04-13
10,137,2023-06-01
11,298,2023-10-09
12,268,2023-05-09
13,456,2023-04-30
14,94,2023-04-18
15,201,2023-01-31
16,123,2023-10-12
17,359,2023-08-20
18,19,2023-06-19
19,168,2023-07-28
20,62,2023-01-09
21,289,2023-04-05
22,259,2023-11-24
23,48,2023-04-05
24,112,2023-04-26
25,91,2023-06-05
26,464,2023-02-20
27,31,2023-06-10
28,450,2023-03-16
29,33,2023-08-15
30,77,2023-04-29
31,23,2023-05-27
32,493,2023-06-26
33,30,2023-10-29
34,46,2023-08-15
35,103,2023-04-27
36,341,2023-04-05
37,62,2023-01-30
38,104,2023-01-28
39,383,2023-03-01
40,45,2023-04-23
41,481,2023-05-27
42,366,2023-05-10
43,270,2023-08-05
44,447,2023-05-08
45,370,2023-01-17
46,371,2023-05-09
47,392,2023-04-10
48,167,2023-06-29
49,183,2023-08-21
50,392,2023-12-04
51,445,2023-11-12
52,196,2023-12-14
53,198,2023-02-15
54,219,2023-05-06
55,426,2023-09-08
56,450,2023-06-25
57,467,2023-04-02
58,310,2023-11-29
59,59,2023-05-03
60,38,2023-08-12
61,454,2023-05-22
62,273,2023-06-05
63,472,2023-06-21
64,387,2023-07-09
65,210,2023-08-22
66,187,2023-06-30
67,162,2023-07-22
68,491,2023-08-30
69,262,2023-01-09
70,190,2023-03-07
71,155,2023-03-28
72,155,2023-10-18
73,65,2023-10-08
74,365,2023-03-18
75,86,2023-08-23
76,331,2023-11-18
77,78,2023-03-11
78,83,2023-02-10
79,417,2023-11-10
80,130,2023-05-01
81,183,2023-11-27
82,162,2023-03-29
83,142,2023-08-31
84,159,2023-02-09
85,220,2023-03-20
86,282,2023-06-30
87,454,2023-08-19
88,470,2023-02-25
89,433,2023-03-21
90,351,2023-06-11
91,36,2023-12-17
92,96,2023-09-03
93,274,2023-01-18
94,24,2023-04-09
95,333,2023-07-02
96,377,2023-07-07
97,260,2023-07-01
98,440,2023-09-15
99,322,2023-12-07
100,192,2023-06-25
101,335,2023-03-03
102,95,2023-07-12
103,17,2023-05-19
104,454,2023-11-11
105,365,2023-04-18
106,32,2023-05-07
107,429,2023-06-05
108,168,2023-10-16
109,207,2023-05-06
110,185,2023-01-26
111,119,2023-05-29
112,358,2023-10-19
113,4,2023-04-11
114,50,2023-03-11
115,115,2023-07-08
116,260,2023-05-17
117,73,2023-03-25
118,117,2023-02-08
119,160,2023-10-21
120,262,2023-09-18
121,462,2023-10-04
122,308,2023-10-05
123,405,2023-08-10
124,442,2023-08-13
125,298,2023-09-20
126,244,2023-04-04
127,263,2023-07-02
128,101,2023-08-10
129,412,2023-02-07
130,142,2023-04-16
131,118,2023-03-14
132,69,2023-04-17
133,11,2023-03-25
134,249,2023-07-05
135,95,2023-01-26
136,402,2023-07-04
137,43,2023-11-09
138,122,2023-12-14
139,357,2023-04-19
140,45,2023-08-14
141,330,2023-12-02
142,101,2023-11-05
143,176,2023-03-26
144,295,2023-12-20
145,430,2023-12-10
146,362,2023-01-10
147,112,2023-06-11
148,456,2023-09-03
149,283,2023-01-19
150,462,2023-01-27
151,437,2023-07-07
152,256,2023-10-14
153,179,2023-03-11
154,250,2023-02-04
155,262,2023-06-13
156,341,2023-10-18
157,343,2023-06-09
158,310,2023-06-12
159,456,2023-10-21
160,46,2023-09-04
161,174,2023-08-01
162,436,2023-02-06
163,135,2023-02-02
164,338,2023-11-27
165,440,2023-06-15
166,10,2023-04-03
167,466,2023-06-17
168,116,2023-06-10
